x0000,y0000
1777575130.4989111,-0.1369628906
1777575130.5089111,-0.1369628906
1777575130.5189111,-0.1369628906
1777575130.528911,-0.1369628906
1777575130.538911,-0.1369628906
1777575130.548911,-0.1369628906
1777575130.558911,-0.1369628906
1777575130.568911,-0.1369628906
1777575130.578911,-0.1369628906
1777575130.588911,-0.1369628906
1777575130.598911,-0.1369628906
1777575130.608911,-0.1369628906
1777575130.6189113,-0.1369628906
1777575130.6289113,-0.1369628906
1777575130.6389112,-0.1369628906
1777575130.6489112,-0.1369628906
1777575130.6589112,-0.1369628906
1777575130.6689112,-0.1369628906
1777575130.6789112,-0.1369628906
1777575130.6889112,-0.1369628906
1777575130.6989112,0.1520996094
1777575130.7089112,0.1520996094
1777575130.7189112,0.1520996094
1777575130.7289112,0.1520996094
1777575130.7389112,0.1520996094
1777575130.7489111,0.1520996094
1777575130.7589111,0.1520996094
1777575130.7689111,0.1520996094
1777575130.778911,0.1520996094
1777575130.788911,0.1520996094
1777575130.798911,0.1520996094
1777575130.808911,0.1520996094
1777575130.8189113,0.1520996094
1777575130.8289113,0.1520996094
1777575130.8389113,0.1520996094
1777575130.8489113,0.1520996094
1777575130.8589113,0.1520996094
1777575130.8689113,0.1520996094
1777575130.8789113,0.1520996094
1777575130.8889112,0.1520996094
1777575130.8989112,0.1010742188
1777575130.9089112,0.1010742188
1777575130.9189112,0.1010742188
1777575130.9289112,0.1010742188
1777575130.9389112,0.1010742188
1777575130.9489112,0.1010742188
1777575130.9589112,0.1010742188
1777575130.9689112,0.1010742188
1777575130.9789112,0.1010742188
1777575130.9889112,0.1010742188
1777575130.9989111,0.1010742188
1777575131.0089111,0.1010742188
1777575131.0189114,0.1010742188
1777575131.0289114,0.1010742188
1777575131.0389113,0.1010742188
1777575131.0489113,0.1010742188
1777575131.0589113,0.1010742188
1777575131.0689113,0.1010742188
1777575131.0789113,0.1010742188
1777575131.0889113,0.1010742188
1777575131.0989113,-0.0541992188
1777575131.1089113,-0.0541992188
1777575131.1189113,-0.0541992188
1777575131.1289113,-0.0541992188
1777575131.1389112,-0.0541992188
1777575131.1489112,-0.0541992188
1777575131.1589112,-0.0541992188
1777575131.1689112,-0.0541992188
1777575131.1789112,-0.0541992188
1777575131.1889112,-0.0541992188
1777575131.1989112,-0.0541992188
1777575131.2089112,-0.0541992188
1777575131.2189114,-0.0541992188
1777575131.2289114,-0.0541992188
1777575131.2389114,-0.0541992188
1777575131.2489114,-0.0541992188
1777575131.2589114,-0.0541992188
1777575131.2689114,-0.0541992188
1777575131.2789114,-0.0541992188
1777575131.2889113,-0.0541992188
1777575131.2989113,-0.0363769531
1777575131.3089113,-0.0363769531
1777575131.3189113,-0.0363769531
1777575131.3289113,-0.0363769531
1777575131.3389113,-0.0363769531
1777575131.3489113,-0.0363769531
1777575131.3589113,-0.0363769531
1777575131.3689113,-0.0363769531
1777575131.3789113,-0.0363769531
1777575131.3889112,-0.0363769531
1777575131.3989112,-0.0363769531
1777575131.4089112,-0.0363769531
1777575131.4189115,-0.0363769531
1777575131.4289114,-0.0363769531
1777575131.4389114,-0.0363769531
1777575131.4489114,-0.0363769531
1777575131.4589114,-0.0363769531
1777575131.4689114,-0.0363769531
1777575131.4789114,-0.0363769531
1777575131.4889114,-0.0363769531
1777575131.4989114,0.0676269531
1777575131.5089114,0.0676269531
1777575131.5189114,0.0676269531
1777575131.5289114,0.0676269531
1777575131.5389113,0.0676269531
1777575131.5489113,0.0676269531
1777575131.5589113,0.0676269531
1777575131.5689113,0.0676269531
1777575131.5789113,0.0676269531
1777575131.5889113,0.0676269531
1777575131.5989113,0.0676269531
1777575131.6089113,0.0676269531
1777575131.6189115,0.0676269531
1777575131.6289115,0.0676269531
1777575131.6389115,0.0676269531
1777575131.6489115,0.0676269531
1777575131.6589115,0.0676269531
1777575131.6689115,0.0676269531
1777575131.6789114,0.0676269531
1777575131.6889114,0.0676269531
1777575131.6989114,-0.0107421875
1777575131.7089114,-0.0107421875
1777575131.7189114,-0.0107421875
1777575131.7289114,-0.0107421875
1777575131.7389114,-0.0107421875
1777575131.7489114,-0.0107421875
1777575131.7589114,-0.0107421875
1777575131.7689114,-0.0107421875
1777575131.7789114,-0.0107421875
1777575131.7889113,-0.0107421875
1777575131.7989113,-0.0107421875
1777575131.8089113,-0.0107421875
1777575131.8189116,-0.0107421875
1777575131.8289115,-0.0107421875
1777575131.8389115,-0.0107421875
1777575131.8489115,-0.0107421875
1777575131.8589115,-0.0107421875
1777575131.8689115,-0.0107421875
1777575131.8789115,-0.0107421875
1777575131.8889115,-0.0107421875
1777575131.8989115,-0.0881347656
1777575131.9089115,-0.0881347656
1777575131.9189115,-0.0881347656
1777575131.9289114,-0.0881347656
1777575131.9389114,-0.0881347656
1777575131.9489114,-0.0881347656
1777575131.9589114,-0.0881347656
1777575131.9689114,-0.0881347656
1777575131.9789114,-0.0881347656
1777575131.9889114,-0.0881347656
1777575131.9989114,-0.0881347656
1777575132.0089114,-0.0881347656
1777575132.0189116,-0.0881347656
1777575132.0289116,-0.0881347656
1777575132.0389116,-0.0881347656
1777575132.0489116,-0.0881347656
1777575132.0589116,-0.0881347656
1777575132.0689116,-0.0881347656
1777575132.0789115,-0.0881347656
1777575132.0889115,-0.0881347656
1777575132.0989115,-0.1279296875
1777575132.1089115,-0.1279296875
1777575132.1189115,-0.1279296875
1777575132.1289115,-0.1279296875
1777575132.1389115,-0.1279296875
1777575132.1489115,-0.1279296875
1777575132.1589115,-0.1279296875
1777575132.1689115,-0.1279296875
1777575132.1789114,-0.1279296875
1777575132.1889114,-0.1279296875
1777575132.1989114,-0.1279296875
1777575132.2089114,-0.1279296875
1777575132.2189116,-0.1279296875
1777575132.2289116,-0.1279296875
1777575132.2389116,-0.1279296875
1777575132.2489116,-0.1279296875
1777575132.2589116,-0.1279296875
1777575132.2689116,-0.1279296875
1777575132.2789116,-0.1279296875
1777575132.2889116,-0.1279296875
1777575132.2989116,-0.1645507812
1777575132.3089116,-0.1645507812
1777575132.3189116,-0.1645507812
1777575132.3289115,-0.1645507812
1777575132.3389115,-0.1645507812
1777575132.3489115,-0.1645507812
1777575132.3589115,-0.1645507812
1777575132.3689115,-0.1645507812
1777575132.3789115,-0.1645507812
1777575132.3889115,-0.1645507812
1777575132.3989115,-0.1645507812
1777575132.4089115,-0.1645507812
1777575132.4189117,-0.1645507812
1777575132.4289117,-0.1645507812
1777575132.4389117,-0.1645507812
1777575132.4489117,-0.1645507812
1777575132.4589117,-0.1645507812
1777575132.4689116,-0.1645507812
1777575132.4789116,-0.1645507812
1777575132.4889116,-0.1645507812
1777575132.4989116,0.1330566406
1777575132.5089116,0.1330566406
1777575132.5189116,0.1330566406
1777575132.5289116,0.1330566406
1777575132.5389116,0.1330566406
1777575132.5489116,0.1330566406
1777575132.5589116,0.1330566406
1777575132.5689116,0.1330566406
1777575132.5789115,0.1330566406
1777575132.5889115,0.1330566406
1777575132.5989115,0.1330566406
1777575132.6089115,0.1330566406
1777575132.6189117,0.1330566406
