Command_x,Command_y,Target_x,Target_y
1779904156.5508988,199.5485947405,1779904156.5508988,0.
1779904156.650899,199.5485947405,1779904156.650899,0.
1779904156.7508988,199.5485947405,1779904156.7508988,0.
1779904156.850899,199.5485947405,1779904156.850899,0.
1779904156.950899,199.5485947405,1779904156.950899,0.
1779904157.0508988,199.5485947405,1779904157.0508988,0.
1779904157.150899,199.5485947405,1779904157.150899,0.
1779904157.2508988,199.5485947405,1779904157.2508988,0.
1779904157.350899,199.5485947405,1779904157.350899,0.
1779904157.450899,199.5485947405,1779904157.450899,0.
1779904157.5508988,199.5485947405,1779904157.5508988,0.
1779904157.650899,199.5485947405,1779904157.650899,0.
1779904157.7508988,199.5485947405,1779904157.7508988,0.
1779904157.850899,199.5485947405,1779904157.850899,0.
1779904157.950899,199.5485947405,1779904157.950899,0.
1779904158.0508988,199.5485947405,1779904158.0508988,0.
1779904158.150899,199.5485947405,1779904158.150899,0.
1779904158.2508988,199.5485947405,1779904158.2508988,0.
1779904158.350899,199.5485947405,1779904158.350899,0.
1779904158.450899,199.5485947405,1779904158.450899,0.
1779904158.5508988,199.5485947405,1779904158.5508988,0.
1779904158.650899,199.5485947405,1779904158.650899,0.
1779904158.7508988,199.5485947405,1779904158.7508988,0.
1779904158.850899,199.5485947405,1779904158.850899,0.
1779904158.950899,199.5485947405,1779904158.950899,0.
1779904159.0508988,199.5485947405,1779904159.0508988,0.
1779904159.150899,199.5485947405,1779904159.150899,0.
1779904159.2508988,199.5485947405,1779904159.2508988,0.
1779904159.350899,199.5485947405,1779904159.350899,0.
1779904159.450899,199.5485947405,1779904159.450899,0.
1779904159.5508988,199.5485947405,1779904159.5508988,0.
1779904159.650899,199.5485947405,1779904159.650899,0.
1779904159.7508988,199.5485947405,1779904159.7508988,0.
1779904159.850899,199.5485947405,1779904159.850899,0.
1779904159.950899,199.5485947405,1779904159.950899,0.
1779904160.0508988,199.5485947405,1779904160.0508988,0.
1779904160.150899,199.5485947405,1779904160.150899,0.
1779904160.2508988,199.5485947405,1779904160.2508988,0.
1779904160.350899,199.5485947405,1779904160.350899,0.
1779904160.450899,199.5485947405,1779904160.450899,0.
1779904160.5508988,199.5485947405,1779904160.5508988,0.
1779904160.650899,199.5485947405,1779904160.650899,0.
1779904160.7508988,199.5485947405,1779904160.7508988,0.
1779904160.850899,199.5485947405,1779904160.850899,0.
1779904160.950899,199.5485947405,1779904160.950899,0.
1779904161.0508988,199.5485947405,1779904161.0508988,0.
1779904161.150899,199.5485947405,1779904161.150899,0.
1779904161.2508988,199.5485947405,1779904161.2508988,0.
1779904161.350899,199.5485947405,1779904161.350899,0.
1779904161.450899,199.5485947405,1779904161.450899,0.
1779904161.5508988,199.5485947405,1779904161.5508988,0.
1779904161.650899,199.5485947405,1779904161.650899,0.
1779904161.7508988,199.5485947405,1779904161.7508988,0.
1779904161.850899,199.5485947405,1779904161.850899,0.
1779904161.950899,199.5485947405,1779904161.950899,0.
1779904162.0508988,199.5485947405,1779904162.0508988,0.
1779904162.150899,199.5485947405,1779904162.150899,0.
1779904162.2508988,199.5485947405,1779904162.2508988,0.
1779904162.350899,199.5485947405,1779904162.350899,0.
1779904162.450899,199.5485947405,1779904162.450899,0.
1779904162.5508988,0.,1779904162.5508988,200.
1779904162.650899,0.,1779904162.650899,200.
1779904162.7508988,0.,1779904162.7508988,200.
1779904162.850899,0.,1779904162.850899,200.
1779904162.950899,0.,1779904162.950899,200.
1779904163.0508988,0.,1779904163.0508988,200.
1779904163.150899,0.,1779904163.150899,200.
1779904163.2508988,0.,1779904163.2508988,200.
1779904163.350899,0.,1779904163.350899,200.
1779904163.450899,0.,1779904163.450899,200.
1779904163.5508988,0.,1779904163.5508988,200.
1779904163.650899,0.,1779904163.650899,200.
1779904163.7508988,0.,1779904163.7508988,200.
1779904163.850899,0.,1779904163.850899,200.
1779904163.950899,0.,1779904163.950899,200.
1779904164.0508988,0.,1779904164.0508988,200.
1779904164.150899,0.,1779904164.150899,200.
1779904164.2508988,0.,1779904164.2508988,200.
1779904164.350899,0.,1779904164.350899,200.
1779904164.450899,0.,1779904164.450899,200.
1779904164.5508988,0.,1779904164.5508988,200.
1779904164.650899,0.,1779904164.650899,200.
1779904164.7508988,0.,1779904164.7508988,200.
1779904164.850899,0.,1779904164.850899,200.
1779904164.950899,0.,1779904164.950899,200.
1779904165.0508988,0.,1779904165.0508988,200.
1779904165.150899,0.,1779904165.150899,200.
1779904165.2508988,0.,1779904165.2508988,200.
1779904165.350899,0.,1779904165.350899,200.
1779904165.450899,0.,1779904165.450899,200.
1779904165.5508988,0.,1779904165.5508988,200.
1779904165.650899,0.,1779904165.650899,200.
1779904165.7508988,0.,1779904165.7508988,200.
1779904165.850899,0.,1779904165.850899,200.
1779904165.950899,0.,1779904165.950899,200.
1779904166.0508988,0.,1779904166.0508988,200.
1779904166.150899,0.,1779904166.150899,200.
1779904166.2508988,0.,1779904166.2508988,200.
1779904166.350899,0.,1779904166.350899,200.
1779904166.450899,0.,1779904166.450899,200.
1779904166.5508988,0.,1779904166.5508988,200.
1779904166.650899,0.,1779904166.650899,200.
1779904166.7508988,0.,1779904166.7508988,200.
1779904166.850899,0.,1779904166.850899,200.
1779904166.950899,0.,1779904166.950899,200.
1779904167.0508988,0.,1779904167.0508988,200.
1779904167.150899,0.,1779904167.150899,200.
1779904167.2508988,0.,1779904167.2508988,200.
1779904167.350899,0.,1779904167.350899,200.
1779904167.450899,0.,1779904167.450899,200.
1779904167.5508988,0.,1779904167.5508988,200.
1779904167.650899,0.,1779904167.650899,200.
1779904167.7508988,0.,1779904167.7508988,200.
1779904167.850899,0.,1779904167.850899,200.
1779904167.950899,0.,1779904167.950899,200.
1779904168.0508988,0.,1779904168.0508988,200.
1779904168.150899,0.,1779904168.150899,200.
1779904168.2508988,0.,1779904168.2508988,200.
1779904168.350899,0.,1779904168.350899,200.
1779904168.450899,0.,1779904168.450899,200.
1779904168.5508988,0.,1779904168.5508988,200.
1779904168.650899,0.,1779904168.650899,200.
1779904168.7508988,0.,1779904168.7508988,200.
1779904168.850899,0.,1779904168.850899,200.
1779904168.950899,0.,1779904168.950899,200.
1779904169.0508988,0.,1779904169.0508988,200.
1779904169.150899,0.,1779904169.150899,200.
1779904169.2508988,0.,1779904169.2508988,200.
1779904169.350899,0.,1779904169.350899,200.
1779904169.450899,0.,1779904169.450899,200.
1779904169.5508988,0.,1779904169.5508988,200.
1779904169.650899,0.,1779904169.650899,200.
1779904169.7508988,0.,1779904169.7508988,200.
1779904169.850899,0.,1779904169.850899,200.
1779904169.950899,0.,1779904169.950899,200.
1779904170.0508988,0.,1779904170.0508988,200.
1779904170.150899,0.,1779904170.150899,200.
1779904170.2508988,0.,1779904170.2508988,200.
1779904170.350899,0.,1779904170.350899,158.8079605815
1779904170.450899,0.,1779904170.450899,288.0042670427
1779904170.5508988,0.,1779904170.5508988,200.
1779904170.650899,0.,1779904170.650899,200.
1779904170.7508988,0.,1779904170.7508988,200.
1779904170.850899,0.,1779904170.850899,200.
1779904170.950899,0.,1779904170.950899,200.
1779904171.0508988,0.,1779904171.0508988,200.
1779904171.150899,0.,1779904171.150899,200.
1779904171.2508988,0.,1779904171.2508988,200.
1779904171.350899,0.,1779904171.350899,200.
1779904171.450899,0.,1779904171.450899,200.
1779904171.5508988,0.,1779904171.5508988,200.
1779904171.650899,0.,1779904171.650899,200.
1779904171.7508988,0.,1779904171.7508988,200.
1779904171.850899,0.,1779904171.850899,200.
1779904171.950899,0.,1779904171.950899,200.
1779904172.0508988,0.,1779904172.0508988,200.
1779904172.150899,0.,1779904172.150899,200.
1779904172.2508988,0.,1779904172.2508988,200.
1779904172.350899,0.,1779904172.350899,200.
1779904172.450899,0.,1779904172.450899,198.9835570573
1779904172.5508988,0.,1779904172.5508988,241.877694516
1779904172.650899,0.,1779904172.650899,275.4807812459
1779904172.7508988,0.,1779904172.7508988,298.1600341976
1779904172.850899,0.,1779904172.850899,308.5173366922
1779904172.950899,0.,1779904172.950899,303.8023961794
1779904173.0508988,0.,1779904173.0508988,295.3894267156
1779904173.150899,0.,1779904173.150899,287.6596705262
1779904173.2508988,0.,1779904173.2508988,280.7013177637
1779904173.350899,0.,1779904173.350899,274.4119479134
1779904173.450899,0.,1779904173.450899,271.239341119
1779904173.5508988,0.,1779904173.5508988,281.9536083467
1779904173.650899,0.,1779904173.650899,294.5059059186
1779904173.7508988,0.,1779904173.7508988,302.3266739152
1779904173.850899,0.,1779904173.850899,303.7461630653
1779904173.950899,0.,1779904173.950899,299.7053132433
1779904174.0508988,0.,1779904174.0508988,294.6051491879
1779904174.150899,0.,1779904174.150899,289.8350692514
1779904174.2508988,0.,1779904174.2508988,285.7074487649
1779904174.350899,0.,1779904174.350899,281.8426907281
