Command_x,Command_y,Target_x,Target_y
1779989208.461026,0.0000000000,1779989208.461026,0.
1779989208.561026,0.0000000000,1779989208.561026,0.
1779989208.661026,0.0000000000,1779989208.661026,0.
1779989208.7610261,0.0000000000,1779989208.7610261,0.
1779989208.861026,0.0000000000,1779989208.861026,0.
1779989208.961026,0.0000000000,1779989208.961026,0.
1779989209.061026,0.0000000000,1779989209.061026,0.
1779989209.161026,0.0000000000,1779989209.161026,0.
1779989209.2610261,0.0000000000,1779989209.2610261,0.
1779989209.361026,0.0000000000,1779989209.361026,0.
1779989209.461026,0.0000000000,1779989209.461026,0.
1779989209.561026,0.0000000000,1779989209.561026,0.
1779989209.661026,0.0000000000,1779989209.661026,0.
1779989209.7610261,0.0000000000,1779989209.7610261,0.
1779989209.861026,0.0000000000,1779989209.861026,0.
1779989209.961026,0.0000000000,1779989209.961026,0.
1779989210.061026,0.0000000000,1779989210.061026,0.
1779989210.161026,0.0000000000,1779989210.161026,0.
1779989210.2610261,0.0000000000,1779989210.2610261,0.
1779989210.361026,0.0000000000,1779989210.361026,0.
1779989210.461026,0.0000000000,1779989210.461026,0.
1779989210.561026,0.0000000000,1779989210.561026,0.
1779989210.661026,0.0000000000,1779989210.661026,0.
1779989210.7610261,0.0000000000,1779989210.7610261,0.
1779989210.861026,0.0000000000,1779989210.861026,0.
1779989210.961026,0.0000000000,1779989210.961026,0.
1779989211.061026,0.0000000000,1779989211.061026,0.
1779989211.161026,0.0000000000,1779989211.161026,0.
1779989211.2610261,0.0000000000,1779989211.2610261,0.
1779989211.361026,0.0000000000,1779989211.361026,0.
1779989211.461026,0.0000000000,1779989211.461026,0.
1779989211.561026,0.0000000000,1779989211.561026,0.
1779989211.661026,0.0000000000,1779989211.661026,0.
1779989211.7610261,0.0000000000,1779989211.7610261,0.
1779989211.861026,0.0000000000,1779989211.861026,0.
1779989211.961026,0.0000000000,1779989211.961026,0.
1779989212.061026,0.0000000000,1779989212.061026,0.
1779989212.161026,0.0000000000,1779989212.161026,0.
1779989212.2610261,0.0000000000,1779989212.2610261,0.
1779989212.361026,0.0000000000,1779989212.361026,0.
1779989212.461026,0.0000000000,1779989212.461026,0.
1779989212.561026,0.0000000000,1779989212.561026,0.
1779989212.661026,0.0000000000,1779989212.661026,0.
