L_E_x,L_E_y,L_I_x,L_I_y,L_D_x,L_D_y,R_E_x,R_E_y,R_I_x,R_I_y,R_D_x,R_D_y,A_E_x,A_E_y,A_I_x,A_I_y,A_D_x,A_D_y
1778162106.1730192,0.,1778162106.1730192,0.,1778162106.1730192,0.,1778162106.1730192,0.,1778162106.1730192,0.,1778162106.1730192,0.,1778162106.1730192,0.,1778162106.1730192,0.,1778162106.1730192,0.
1778162106.273019,0.,1778162106.273019,0.,1778162106.273019,0.,1778162106.273019,0.,1778162106.273019,0.,1778162106.273019,0.,1778162106.273019,0.,1778162106.273019,0.,1778162106.273019,0.
1778162106.373019,0.,1778162106.373019,0.,1778162106.373019,0.,1778162106.373019,0.,1778162106.373019,0.,1778162106.373019,0.,1778162106.373019,0.,1778162106.373019,0.,1778162106.373019,0.
1778162106.4730191,0.,1778162106.4730191,0.,1778162106.4730191,0.,1778162106.4730191,0.,1778162106.4730191,0.,1778162106.4730191,0.,1778162106.4730191,0.,1778162106.4730191,0.,1778162106.4730191,0.
1778162106.573019,0.,1778162106.573019,0.,1778162106.573019,0.,1778162106.573019,0.,1778162106.573019,0.,1778162106.573019,0.,1778162106.573019,0.,1778162106.573019,0.,1778162106.573019,0.
1778162106.6730192,0.,1778162106.6730192,0.,1778162106.6730192,0.,1778162106.6730192,0.,1778162106.6730192,0.,1778162106.6730192,0.,1778162106.6730192,0.,1778162106.6730192,0.,1778162106.6730192,0.
1778162106.773019,0.,1778162106.773019,0.,1778162106.773019,0.,1778162106.773019,0.,1778162106.773019,0.,1778162106.773019,0.,1778162106.773019,0.,1778162106.773019,0.,1778162106.773019,0.
1778162106.873019,0.,1778162106.873019,0.,1778162106.873019,0.,1778162106.873019,0.,1778162106.873019,0.,1778162106.873019,0.,1778162106.873019,0.,1778162106.873019,0.,1778162106.873019,0.
1778162106.9730191,0.,1778162106.9730191,0.,1778162106.9730191,0.,1778162106.9730191,0.,1778162106.9730191,0.,1778162106.9730191,0.,1778162106.9730191,0.,1778162106.9730191,0.,1778162106.9730191,0.
1778162107.073019,0.,1778162107.073019,0.,1778162107.073019,0.,1778162107.073019,0.,1778162107.073019,0.,1778162107.073019,0.,1778162107.073019,0.,1778162107.073019,0.,1778162107.073019,0.
1778162107.1730192,0.,1778162107.1730192,0.,1778162107.1730192,0.,1778162107.1730192,0.,1778162107.1730192,0.,1778162107.1730192,0.,1778162107.1730192,0.,1778162107.1730192,0.,1778162107.1730192,0.
1778162107.273019,0.,1778162107.273019,0.,1778162107.273019,0.,1778162107.273019,0.,1778162107.273019,0.,1778162107.273019,0.,1778162107.273019,0.,1778162107.273019,0.,1778162107.273019,0.
1778162107.373019,0.,1778162107.373019,0.,1778162107.373019,0.,1778162107.373019,0.,1778162107.373019,0.,1778162107.373019,0.,1778162107.373019,0.,1778162107.373019,0.,1778162107.373019,0.
1778162107.4730191,0.,1778162107.4730191,0.,1778162107.4730191,0.,1778162107.4730191,0.,1778162107.4730191,0.,1778162107.4730191,0.,1778162107.4730191,0.,1778162107.4730191,0.,1778162107.4730191,0.
1778162107.573019,0.,1778162107.573019,0.,1778162107.573019,0.,1778162107.573019,0.,1778162107.573019,0.,1778162107.573019,0.,1778162107.573019,0.,1778162107.573019,0.,1778162107.573019,0.
1778162107.6730192,0.,1778162107.6730192,0.,1778162107.6730192,0.,1778162107.6730192,0.,1778162107.6730192,0.,1778162107.6730192,0.,1778162107.6730192,0.,1778162107.6730192,0.,1778162107.6730192,0.
1778162107.773019,0.,1778162107.773019,0.,1778162107.773019,0.,1778162107.773019,0.,1778162107.773019,0.,1778162107.773019,0.,1778162107.773019,0.,1778162107.773019,0.,1778162107.773019,0.
1778162107.873019,0.,1778162107.873019,0.,1778162107.873019,0.,1778162107.873019,0.,1778162107.873019,0.,1778162107.873019,0.,1778162107.873019,0.,1778162107.873019,0.,1778162107.873019,0.
1778162107.9730191,0.,1778162107.9730191,0.,1778162107.9730191,0.,1778162107.9730191,0.,1778162107.9730191,0.,1778162107.9730191,0.,1778162107.9730191,0.,1778162107.9730191,0.,1778162107.9730191,0.
1778162108.073019,120.,1778162108.073019,5027.9544703199,1778162108.073019,0.2863987748,1778162108.073019,120.,1778162108.073019,5027.95389252,1778162108.073019,0.2863988077,1778162108.073019,0.,1778162108.073019,0.,1778162108.073019,0.
1778162108.1730192,120.,1778162108.1730192,5036.6022124799,1778162108.1730192,0.2577588973,1778162108.1730192,120.,1778162108.1730192,5036.6015503199,1778162108.1730192,0.2577589269,1778162108.1730192,0.,1778162108.1730192,0.,1778162108.1730192,0.
1778162108.273019,54.5143755254,1778162108.273019,5044.0439951231,1778162108.273019,-47.7391563727,1778162108.273019,75.0720049865,1778162108.273019,5046.8499411193,1778162108.273019,-32.6788878694,1778162108.273019,-1.5244892656,1778162108.273019,-0.2155486669,1778162108.273019,-1.0782101111
1778162108.373019,-26.0857762174,1778162108.373019,5042.242055386,1778162108.373019,-159.6460307840,1778162108.373019,-47.0180386587,1778162108.373019,5043.6020804355,1778162108.373019,-206.156092264,1778162108.373019,-2.9628734274,1778162108.373019,-0.4209716503,1778162108.373019,-3.0450110049
1778162108.4730191,-35.8573187072,1778162108.4730191,5036.8828145797,1778162108.4730191,-150.2193185372,1778162108.4730191,-87.4331964985,1778162108.4730191,5030.5341578569,1778162108.4730191,-212.5809434906,1778162108.4730191,-5.0299834291,1778162108.4730191,-1.1738345106,1778162108.4730191,-4.1215753816
1778162108.573019,-17.848682292,1778162108.573019,5035.5897291125,1778162108.573019,-110.3397544512,1778162108.573019,-76.0187159827,1778162108.573019,5025.0269143969,1778162108.573019,-175.5669785555,1778162108.573019,-5.3263143195,1778162108.573019,-1.5591095101,1778162108.573019,-4.1190866429
1778162108.6730192,31.1934900443,1778162108.6730192,5039.4565417346,1778162108.6730192,-59.7435694037,1778162108.6730192,-7.7642607241,1778162108.6730192,5024.0644367921,1778162108.6730192,-102.9497386613,1778162108.6730192,-6.988508753,1778162108.6730192,-2.4210324500,1778162108.6730192,-5.0548924679
1778162108.773019,36.1302083495,1778162108.773019,5044.0412677949,1778162108.773019,-49.8788020312,1778162108.773019,24.2116070597,1778162108.773019,5027.1367359358,1778162108.773019,-67.4558141087,1778162108.773019,-5.5251117708,1778162108.773019,-3.1252831475,1778162108.773019,-3.4013132128
1778162108.873019,60.0938291849,1778162108.873019,5049.7229968618,1778162108.873019,-19.5453673294,1778162108.873019,53.9100968437,1778162108.873019,5032.2338307373,1778162108.873019,-29.2992324567,1778162108.873019,-4.9066774595,1778162108.873019,-3.5903653869,1778162108.873019,-2.4087257368
1778162108.9730191,19.1919075386,1778162108.9730191,5052.3835873554,1778162108.9730191,-47.0950290173,1778162108.9730191,-9.1703219427,1778162108.9730191,5030.9625349116,1778162108.9730191,-71.8715233187,1778162108.9730191,-5.3495791248,1778162108.9730191,-4.3616374907,1778162108.9730191,-2.4750518147
1778162109.073019,17.6907698144,1778162109.073019,5054.0559384076,1778162109.073019,-43.9734870823,1778162109.073019,7.8532936760,1778162109.073019,5031.7049272677,1778162109.073019,-46.6761773711,1778162109.073019,-5.2346312392,1778162109.073019,-4.789692671,1778162109.073019,-2.0869783559
1778162109.1730192,-6.6911862341,1778162109.1730192,5053.4038996527,1778162109.1730192,-64.5967690393,1778162109.1730192,8.7638821963,1778162109.1730192,5032.5589404898,1778162109.1730192,-41.0741138533,1778162109.1730192,-5.2961214783,1778162109.1730192,-5.3734585454,1778162109.1730192,-1.9340665452
1778162109.273019,-13.9348529860,1778162109.273019,5051.9632897748,1778162109.273019,-65.1438073342,1778162109.273019,6.6102952085,1778162109.273019,5033.2423268818,1778162109.273019,-39.0498352189,1778162109.273019,-5.7982051216,1778162109.273019,-5.9398920746,1778162109.273019,-2.2546096839
1778162109.373019,5.887879452,1778162109.373019,5052.7744120026,1778162109.373019,-44.2402439352,1778162109.373019,3.1159007908,1778162109.373019,5033.6715735492,1778162109.373019,-37.6814319795,1778162109.373019,-8.0410140451,1778162109.373019,-7.1339317366,1778162109.373019,-3.539522167
1778162109.4730191,12.5847364606,1778162109.4730191,5054.2338261358,1778162109.4730191,-34.0414241183,1778162109.4730191,-39.7318803140,1778162109.4730191,5029.0639490779,1778162109.4730191,-70.8612414890,1778162109.4730191,-9.1792533866,1778162109.4730191,-8.2004968905,1778162109.4730191,-4.1651807402
1778162109.573019,15.1397248091,1778162109.573019,5055.5622181106,1778162109.573019,-27.7253535092,1778162109.573019,-66.1179117097,1778162109.573019,5023.2627206601,1778162109.573019,-93.8478738071,1778162109.573019,-7.8455861682,1778162109.573019,-8.8880391699,1778162109.573019,-2.2268070078
1778162109.6730192,-22.6532783558,1778162109.6730192,5053.6218351974,1778162109.6730192,-69.0748012345,1778162109.6730192,-23.3623772867,1778162109.6730192,5021.261569065,1778162109.6730192,-34.5482809355,1778162109.6730192,-6.7368947829,1778162109.6730192,-9.4657676923,1778162109.6730192,-0.7112808063
1778162109.773019,12.5337299909,1778162109.773019,5055.5574038037,1778162109.773019,-39.3820547880,1778162109.773019,49.5752736983,1778162109.773019,5028.9173986669,1778162109.773019,16.1372745712,1778162109.773019,-4.3929293775,1778162109.773019,-10.1426809321,1778162109.773019,0.880998566
1778162109.873019,-4.4396043629,1778162109.873019,5055.1419991468,1778162109.873019,-53.5839659418,1778162109.873019,-22.1704865677,1778162109.873019,5026.8429452366,1778162109.873019,-62.1539232532,1778162109.873019,-5.0147292016,1778162109.873019,-10.613222817,1778162109.873019,0.1302249208
1778162109.9730191,-9.4129152593,1778162109.9730191,5054.3487129965,1778162109.9730191,-54.1267632619,1778162109.9730191,25.2769850139,1778162109.9730191,5028.9731870354,1778162109.9730191,0.3616049907,1778162109.9730191,-5.4711649035,1778162109.9730191,-11.0763329131,1778162109.9730191,-0.4220289579
1778162110.073019,-12.7629504759,1778162110.073019,5052.3558614686,1778162110.073019,-50.8595720842,1778162110.073019,11.8087531236,1778162110.073019,5030.8170442328,1778162110.073019,-8.3001164046,1778162110.073019,-5.2522368878,1778162110.073019,-11.8942637636,1778162110.073019,-0.2392442759
1778162110.1730192,-15.9777622883,1778162110.1730192,5051.0434306265,1778162110.1730192,-49.6873829231,1778162110.1730192,6.5484836577,1778162110.1730192,5031.3549391034,1778162110.1730192,-13.8741049724,1778162110.1730192,-5.7984196468,1778162110.1730192,-12.3729345834,1778162110.1730192,-0.8769429741
1778162110.273019,31.0995619435,1778162110.273019,5055.8973408464,1778162110.273019,-14.5556606704,1778162110.273019,7.710283103,1778162110.273019,5032.5583408144,1778162110.273019,-11.7423210419,1778162110.273019,-7.4404373660,1778162110.273019,-13.5312460244,1778162110.273019,-1.8440021361
1778162110.373019,19.2761804534,1778162110.373019,5057.7459783084,1778162110.373019,-25.4286143837,1778162110.373019,6.5529058389,1778162110.373019,5033.1867813516,1778162110.373019,-11.7749150069,1778162110.373019,-9.5316966757,1778162110.373019,-14.4422513453,1778162110.373019,-3.8476516465
1778162110.4730191,-3.2160567026,1778162110.4730191,5057.4027447759,1778162110.4730191,-43.960707224,1778162110.4730191,7.3212818196,1778162110.4730191,5033.9681429867,1778162110.4730191,-9.877462755,1778162110.4730191,-10.2762172843,1778162110.4730191,-15.485473132,1778162110.4730191,-4.1962737294
1778162110.573019,-17.8166153035,1778162110.573019,5056.0314757947,1778162110.573019,-58.5348414275,1778162110.573019,-23.977593484,1778162110.573019,5032.1226848693,1778162110.573019,-49.5555924199,1778162110.573019,-10.3236686993,1778162110.573019,-16.3411544280,1778162110.573019,-3.8338957892
1778162110.6730192,33.5503009968,1778162110.6730192,5059.1730495860,1778162110.6730192,2.1757181060,1778162110.6730192,-18.7302998628,1778162110.6730192,5030.3688212089,1778162110.6730192,-38.9962120138,1778162110.6730192,-10.9082483893,1778162110.6730192,-17.3540636668,1778162110.6730192,-4.080053283
1778162110.773019,38.5125167805,1778162110.773019,5065.6306800496,1778162110.773019,4.9175509829,1778162110.773019,-1.6402393338,1778162110.773019,5030.0937922268,1778162110.773019,-24.9042869759,1778162110.773019,-9.2934441143,1778162110.773019,-18.865498127,1778162110.773019,-2.6791439499
1778162110.873019,0.,1778162110.873019,5065.6306800496,1778162110.873019,-36.0553727523,1778162110.873019,28.1456453645,1778162110.873019,5032.7715705029,1778162110.873019,8.8935488756,1778162110.873019,-8.5512815967,1778162110.873019,-19.6721186715,1778162110.873019,-1.6244357245
1778162110.9730191,16.0842880003,1778162110.9730191,5067.2982531570,1778162110.9730191,-16.9360136652,1778162110.9730191,-27.0156042219,1778162110.9730191,5029.9707652599,1778162110.9730191,-45.2024504554,1778162110.9730191,-8.7084638376,1778162110.9730191,-20.627027369,1778162110.9730191,-1.6053373603
