x0000,y0000
1777576134.2991505,-0.1345214844
1777576134.3091505,-0.1345214844
1777576134.3191504,-0.1345214844
1777576134.3291504,-0.1345214844
1777576134.3391504,-0.1345214844
1777576134.3491504,-0.1345214844
1777576134.3591504,-0.1345214844
1777576134.3691504,-0.1345214844
1777576134.3791504,-0.1345214844
1777576134.3891504,-0.1345214844
1777576134.3991504,-0.1345214844
1777576134.4091504,-0.1345214844
1777576134.4191506,-0.1345214844
1777576134.4291506,-0.1345214844
1777576134.4391506,-0.1345214844
1777576134.4491506,-0.1345214844
1777576134.4591506,-0.1345214844
1777576134.4691505,-0.1345214844
1777576134.4791505,-0.1345214844
1777576134.4891505,-0.1345214844
1777576134.4991505,-0.0283203125
1777576134.5091505,-0.0283203125
1777576134.5191505,-0.0283203125
1777576134.5291505,-0.0283203125
1777576134.5391505,-0.0283203125
1777576134.5491505,-0.0283203125
1777576134.5591505,-0.0283203125
1777576134.5691504,-0.0283203125
1777576134.5791504,-0.0283203125
1777576134.5891504,-0.0283203125
1777576134.5991504,-0.0283203125
1777576134.6091504,-0.0283203125
1777576134.6191506,-0.0283203125
1777576134.6291506,-0.0283203125
1777576134.6391506,-0.0283203125
1777576134.6491506,-0.0283203125
1777576134.6591506,-0.0283203125
1777576134.6691506,-0.0283203125
1777576134.6791506,-0.0283203125
1777576134.6891506,-0.0283203125
1777576134.6991506,0.09375
1777576134.7091506,0.09375
1777576134.7191505,0.09375
1777576134.7291505,0.09375
1777576134.7391505,0.09375
1777576134.7491505,0.09375
1777576134.7591505,0.09375
1777576134.7691505,0.09375
1777576134.7791505,0.09375
1777576134.7891505,0.09375
1777576134.7991505,0.09375
1777576134.8091505,0.09375
1777576134.8191507,0.09375
1777576134.8291507,0.09375
1777576134.8391507,0.09375
1777576134.8491507,0.09375
1777576134.8591506,0.09375
1777576134.8691506,0.09375
1777576134.8791506,0.09375
1777576134.8891506,0.09375
1777576134.8991506,-0.2888183594
1777576134.9091506,-0.2888183594
1777576134.9191506,-0.2888183594
1777576134.9291506,-0.2888183594
1777576134.9391506,-0.2888183594
1777576134.9491506,-0.2888183594
1777576134.9591506,-0.2888183594
1777576134.9691505,-0.2888183594
1777576134.9791505,-0.2888183594
1777576134.9891505,-0.2888183594
1777576134.9991505,-0.2888183594
1777576135.0091505,-0.2888183594
1777576135.0191507,-0.2888183594
1777576135.0291507,-0.2888183594
1777576135.0391507,-0.2888183594
1777576135.0491507,-0.2888183594
1777576135.0591507,-0.2888183594
1777576135.0691507,-0.2888183594
1777576135.0791507,-0.2888183594
1777576135.0891507,-0.2888183594
1777576135.0991507,-0.0131835938
1777576135.1091506,-0.0131835938
1777576135.1191506,-0.0131835938
1777576135.1291506,-0.0131835938
1777576135.1391506,-0.0131835938
1777576135.1491506,-0.0131835938
1777576135.1591506,-0.0131835938
1777576135.1691506,-0.0131835938
1777576135.1791506,-0.0131835938
1777576135.1891506,-0.0131835938
1777576135.1991506,-0.0131835938
1777576135.2091506,-0.0131835938
1777576135.2191508,-0.0131835938
1777576135.2291508,-0.0131835938
1777576135.2391508,-0.0131835938
1777576135.2491508,-0.0131835938
1777576135.2591507,-0.0131835938
