Command_x,Command_y,Target_x,Target_y
1778162098.873019,0.,1778162098.873019,120.
1778162098.9730191,0.,1778162098.9730191,120.
1778162099.073019,0.,1778162099.073019,120.
1778162099.1730192,0.,1778162099.1730192,120.
1778162099.273019,0.,1778162099.273019,120.
1778162099.373019,0.,1778162099.373019,120.
1778162099.4730191,0.,1778162099.4730191,120.
1778162099.573019,0.,1778162099.573019,120.
1778162099.6730192,0.,1778162099.6730192,120.
1778162099.773019,0.,1778162099.773019,120.
1778162099.873019,0.,1778162099.873019,120.
1778162099.9730191,0.,1778162099.9730191,120.
1778162100.073019,0.,1778162100.073019,120.
1778162100.1730192,0.,1778162100.1730192,120.
1778162100.273019,0.,1778162100.273019,120.
1778162100.373019,0.,1778162100.373019,120.
1778162100.4730191,0.,1778162100.4730191,120.
1778162100.573019,0.,1778162100.573019,120.
1778162100.6730192,0.,1778162100.6730192,120.
1778162100.773019,0.,1778162100.773019,120.
1778162100.873019,0.,1778162100.873019,120.
1778162100.9730191,0.,1778162100.9730191,120.
1778162101.073019,0.,1778162101.073019,120.
1778162101.1730192,0.,1778162101.1730192,120.
1778162101.273019,0.,1778162101.273019,120.
1778162101.373019,0.,1778162101.373019,120.
1778162101.4730191,0.,1778162101.4730191,120.
1778162101.573019,0.,1778162101.573019,120.
1778162101.6730192,0.,1778162101.6730192,120.
1778162101.773019,0.,1778162101.773019,120.
1778162101.873019,0.,1778162101.873019,120.
1778162101.9730191,0.,1778162101.9730191,120.
1778162102.073019,0.,1778162102.073019,120.
1778162102.1730192,0.,1778162102.1730192,120.
1778162102.273019,0.,1778162102.273019,120.
1778162102.373019,0.,1778162102.373019,120.
1778162102.4730191,0.,1778162102.4730191,120.
1778162102.573019,0.,1778162102.573019,120.
1778162102.6730192,0.,1778162102.6730192,120.
1778162102.773019,0.,1778162102.773019,120.
1778162102.873019,0.,1778162102.873019,120.
1778162102.9730191,0.,1778162102.9730191,120.
1778162103.073019,0.,1778162103.073019,120.
1778162103.1730192,0.,1778162103.1730192,120.
1778162103.273019,0.,1778162103.273019,120.
1778162103.373019,0.,1778162103.373019,120.
1778162103.4730191,0.,1778162103.4730191,120.
1778162103.573019,0.,1778162103.573019,120.
1778162103.6730192,0.,1778162103.6730192,120.
